occurrenceID,eventID,scientificName,scientificNameID,basisOfRecord,occurrenceStatus
USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R001-00001,USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R001,Littorina littorea,urn:lsid:marinespecies.org:taxname:140262,HumanObservation,present
USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R001-00002,USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R001,Littorina obtusata,urn:lsid:marinespecies.org:taxname:140263,HumanObservation,present
USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R001-00003,USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R001,Nucella lapillus,urn:lsid:marinespecies.org:taxname:140403,HumanObservation,present
USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R001-00004,USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R001,Ascophyllum nodosum,urn:lsid:marinespecies.org:taxname:145541,HumanObservation,present
USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R001-00005,USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R001,Fucus distichus,urn:lsid:marinespecies.org:taxname:145544,HumanObservation,present
USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R001-00006,USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R001,Semibalanus balanoides,urn:lsid:marinespecies.org:taxname:106210,HumanObservation,present
USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R001-00007,USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R001,Vertebrata lanosa,urn:lsid:marinespecies.org:taxname:475211,HumanObservation,present
USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R002-00008,USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R002,Littorina littorea,urn:lsid:marinespecies.org:taxname:140262,HumanObservation,present
USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R002-00009,USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R002,Littorina obtusata,urn:lsid:marinespecies.org:taxname:140263,HumanObservation,present
USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R002-00010,USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R002,Nucella lapillus,urn:lsid:marinespecies.org:taxname:140403,HumanObservation,present
USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R002-00011,USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R002,Testudinalia testudinalis,urn:lsid:marinespecies.org:taxname:234208,HumanObservation,present
USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R002-00012,USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R002,Ascophyllum nodosum,urn:lsid:marinespecies.org:taxname:145541,HumanObservation,present
USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R002-00013,USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R002,Chondrus crispus,urn:lsid:marinespecies.org:taxname:145625,HumanObservation,present
USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R002-00014,USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R002,Corallina officinalis,urn:lsid:marinespecies.org:taxname:145108,HumanObservation,present
