occurrenceID,eventID,scientificName,scientificNameID,basisOfRecord,occurrenceStatus
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R001-00001,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R001,Littorina littorea,urn:lsid:marinespecies.org:taxname:140262,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R001-00002,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R001,Littorina obtusata,urn:lsid:marinespecies.org:taxname:140263,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R001-00003,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R001,Testudinalia testudinalis,urn:lsid:marinespecies.org:taxname:234208,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R001-00004,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R001,Clathromorphum,urn:lsid:marinespecies.org:taxname:144006,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R001-00005,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R001,Corallina officinalis,urn:lsid:marinespecies.org:taxname:145108,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R001-00006,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R001,Dynamena,urn:lsid:marinespecies.org:taxname:117229,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R001-00007,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R001,Hildenbrandia,urn:lsid:marinespecies.org:taxname:144191,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R001-00008,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R001,Mastocarpus stellatus,urn:lsid:marinespecies.org:taxname:145650,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R001-00009,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R001,Porphyra,urn:lsid:marinespecies.org:taxname:143808,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R001-00010,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R001,Ulva intestinalis,urn:lsid:marinespecies.org:taxname:234471,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R001-00011,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R001,Ulva lactuca,urn:lsid:marinespecies.org:taxname:145984,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R002-00012,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R002,Littorina littorea,urn:lsid:marinespecies.org:taxname:140262,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R002-00013,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R002,Clathromorphum,urn:lsid:marinespecies.org:taxname:144006,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R002-00014,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R002,Corallina officinalis,urn:lsid:marinespecies.org:taxname:145108,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R002-00015,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R002,Dynamena,urn:lsid:marinespecies.org:taxname:117229,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R002-00016,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R002,Hildenbrandia,urn:lsid:marinespecies.org:taxname:144191,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R002-00017,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R002,Mastocarpus stellatus,urn:lsid:marinespecies.org:taxname:145650,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R002-00018,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R002,Ulva intestinalis,urn:lsid:marinespecies.org:taxname:234471,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R002-00019,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R002,Ulva lactuca,urn:lsid:marinespecies.org:taxname:145984,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R003-00020,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R003,Littorina littorea,urn:lsid:marinespecies.org:taxname:140262,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R003-00021,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R003,Littorina obtusata,urn:lsid:marinespecies.org:taxname:140263,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R003-00022,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R003,Testudinalia testudinalis,urn:lsid:marinespecies.org:taxname:234208,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R003-00023,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R003,Chondrus crispus,urn:lsid:marinespecies.org:taxname:145625,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R003-00024,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R003,Clathromorphum,urn:lsid:marinespecies.org:taxname:144006,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R003-00025,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R003,Dynamena,urn:lsid:marinespecies.org:taxname:117229,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R003-00026,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R003,Mastocarpus stellatus,urn:lsid:marinespecies.org:taxname:145650,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R003-00027,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R003,Ulva lactuca,urn:lsid:marinespecies.org:taxname:145984,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R004-00028,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R004,Littorina littorea,urn:lsid:marinespecies.org:taxname:140262,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R004-00029,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R004,Littorina obtusata,urn:lsid:marinespecies.org:taxname:140263,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R004-00030,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R004,Testudinalia testudinalis,urn:lsid:marinespecies.org:taxname:234208,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R004-00031,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R004,Dynamena,urn:lsid:marinespecies.org:taxname:117229,HumanObservation,present
USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R004-00032,USA_CENTRALMAINE_HAMILTONCOVE_20180713_HIGHTIDE_R004,Hildenbrandia,urn:lsid:marinespecies.org:taxname:144191,HumanObservation,present
