occurrenceID,eventID,scientificName,scientificNameID,basisOfRecord,occurrenceStatus
USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R001-00001,USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R001,Lacuna vincta,urn:lsid:marinespecies.org:taxname:140170,HumanObservation,present
USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R001-00002,USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R001,Littorina littorea,urn:lsid:marinespecies.org:taxname:140262,HumanObservation,present
USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R001-00003,USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R001,Littorina obtusata,urn:lsid:marinespecies.org:taxname:140263,HumanObservation,present
USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R002-00004,USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R002,Carcinus maenas,urn:lsid:marinespecies.org:taxname:107381,HumanObservation,present
USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R002-00005,USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R002,Littorina littorea,urn:lsid:marinespecies.org:taxname:140262,HumanObservation,present
USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R002-00006,USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R002,Littorina obtusata,urn:lsid:marinespecies.org:taxname:140263,HumanObservation,present
USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R003-00007,USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R003,Lacuna vincta,urn:lsid:marinespecies.org:taxname:140170,HumanObservation,present
USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R003-00008,USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R003,Littorina littorea,urn:lsid:marinespecies.org:taxname:140262,HumanObservation,present
USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R003-00009,USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R003,Littorina obtusata,urn:lsid:marinespecies.org:taxname:140263,HumanObservation,present
USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R004-00010,USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R004,Littorina littorea,urn:lsid:marinespecies.org:taxname:140262,HumanObservation,present
USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R004-00011,USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R004,Littorina obtusata,urn:lsid:marinespecies.org:taxname:140263,HumanObservation,present
USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R005-00012,USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R005,Littorina littorea,urn:lsid:marinespecies.org:taxname:140262,HumanObservation,present
