occurrenceID,eventID,scientificName,scientificNameID,basisOfRecord,occurrenceStatus
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R001-00001,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R001,Littorina littorea,urn:lsid:marinespecies.org:taxname:140262,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R001-00002,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R001,Littorina obtusata,urn:lsid:marinespecies.org:taxname:140263,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R001-00003,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R001,Fucus distichus,urn:lsid:marinespecies.org:taxname:145544,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R001-00004,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R001,Hildenbrandia,urn:lsid:marinespecies.org:taxname:144191,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R001-00005,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R001,Mytilus edulis,urn:lsid:marinespecies.org:taxname:140480,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R001-00006,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R001,Semibalanus balanoides,urn:lsid:marinespecies.org:taxname:106210,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R002-00007,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R002,Nucella lapillus,urn:lsid:marinespecies.org:taxname:140403,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R002-00008,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R002,Fucus distichus,urn:lsid:marinespecies.org:taxname:145544,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R002-00009,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R002,Mytilus edulis,urn:lsid:marinespecies.org:taxname:140480,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R002-00010,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R002,Semibalanus balanoides,urn:lsid:marinespecies.org:taxname:106210,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R003-00011,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R003,Littorina obtusata,urn:lsid:marinespecies.org:taxname:140263,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R003-00012,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R003,Nucella lapillus,urn:lsid:marinespecies.org:taxname:140403,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R003-00013,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R003,Fucus distichus,urn:lsid:marinespecies.org:taxname:145544,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R003-00014,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R003,Mytilus edulis,urn:lsid:marinespecies.org:taxname:140480,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R003-00015,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R003,Polysiphonia,urn:lsid:marinespecies.org:taxname:143853,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R003-00016,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R003,Ralfsia,urn:lsid:marinespecies.org:taxname:143985,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R003-00017,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R003,Vertebrata lanosa,urn:lsid:marinespecies.org:taxname:475211,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R004-00018,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R004,Carcinus maenas,urn:lsid:marinespecies.org:taxname:107381,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R004-00019,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R004,Littorina obtusata,urn:lsid:marinespecies.org:taxname:140263,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R004-00020,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R004,Nucella lapillus,urn:lsid:marinespecies.org:taxname:140403,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R004-00021,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R004,Fucus distichus,urn:lsid:marinespecies.org:taxname:145544,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R004-00022,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R004,Mytilus edulis,urn:lsid:marinespecies.org:taxname:140480,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R004-00023,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R004,Polysiphonia,urn:lsid:marinespecies.org:taxname:143853,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R004-00024,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R004,Ulva lactuca,urn:lsid:marinespecies.org:taxname:145984,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R004-00025,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R004,Vertebrata lanosa,urn:lsid:marinespecies.org:taxname:475211,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R005-00026,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R005,Littorina obtusata,urn:lsid:marinespecies.org:taxname:140263,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R005-00027,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R005,Nucella lapillus,urn:lsid:marinespecies.org:taxname:140403,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R005-00028,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R005,Fucus distichus,urn:lsid:marinespecies.org:taxname:145544,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R005-00029,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R005,Semibalanus balanoides,urn:lsid:marinespecies.org:taxname:106210,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_MIDTIDE_R001-00030,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_MIDTIDE_R001,Nucella lapillus,urn:lsid:marinespecies.org:taxname:140403,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_MIDTIDE_R001-00031,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_MIDTIDE_R001,Testudinalia testudinalis,urn:lsid:marinespecies.org:taxname:234208,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_MIDTIDE_R001-00032,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_MIDTIDE_R001,Ascophyllum nodosum,urn:lsid:marinespecies.org:taxname:145541,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_MIDTIDE_R001-00033,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_MIDTIDE_R001,Clathromorphum,urn:lsid:marinespecies.org:taxname:144006,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_MIDTIDE_R001-00034,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_MIDTIDE_R001,Dumontia contorta,urn:lsid:marinespecies.org:taxname:145228,HumanObservation,present
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_MIDTIDE_R001-00035,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_MIDTIDE_R001,Dynamena,urn:lsid:marinespecies.org:taxname:117229,HumanObservation,present
