occurrenceID,eventID,scientificName,scientificNameID,basisOfRecord,occurrenceStatus
USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R001-00001,USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R001,Littorina littorea,urn:lsid:marinespecies.org:taxname:140262,HumanObservation,present
USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R001-00002,USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R001,Littorina obtusata,urn:lsid:marinespecies.org:taxname:140263,HumanObservation,present
USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R001-00003,USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R001,Dynamena,urn:lsid:marinespecies.org:taxname:117229,HumanObservation,present
USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R001-00004,USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R001,Semibalanus balanoides,urn:lsid:marinespecies.org:taxname:106210,HumanObservation,present
USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R002-00005,USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R002,Littorina littorea,urn:lsid:marinespecies.org:taxname:140262,HumanObservation,present
USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R002-00006,USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R002,Littorina obtusata,urn:lsid:marinespecies.org:taxname:140263,HumanObservation,present
USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R002-00007,USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R002,Dynamena,urn:lsid:marinespecies.org:taxname:117229,HumanObservation,present
USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R002-00008,USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R002,Semibalanus balanoides,urn:lsid:marinespecies.org:taxname:106210,HumanObservation,present
USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R003-00009,USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R003,Littorina littorea,urn:lsid:marinespecies.org:taxname:140262,HumanObservation,present
USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R003-00010,USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R003,Littorina obtusata,urn:lsid:marinespecies.org:taxname:140263,HumanObservation,present
USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R003-00011,USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R003,Dynamena,urn:lsid:marinespecies.org:taxname:117229,HumanObservation,present
USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R003-00012,USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R003,Hildenbrandia,urn:lsid:marinespecies.org:taxname:144191,HumanObservation,present
USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R003-00013,USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R003,Mytilus edulis,urn:lsid:marinespecies.org:taxname:140480,HumanObservation,present
USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R003-00014,USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R003,Semibalanus balanoides,urn:lsid:marinespecies.org:taxname:106210,HumanObservation,present
USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R004-00015,USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R004,Littorina littorea,urn:lsid:marinespecies.org:taxname:140262,HumanObservation,present
USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R004-00016,USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R004,Littorina obtusata,urn:lsid:marinespecies.org:taxname:140263,HumanObservation,present
USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R004-00017,USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R004,Dynamena,urn:lsid:marinespecies.org:taxname:117229,HumanObservation,present
USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R005-00018,USA_GRINDSTONE_GRINDSTONE_20180813_HIGHTIDE_R005,Littorina littorea,urn:lsid:marinespecies.org:taxname:140262,HumanObservation,present
