occurrenceID,eventID,scientificName,scientificNameID,basisOfRecord,occurrenceStatus
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R001-00001,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R001,Dynamena,urn:lsid:marinespecies.org:taxname:117229,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R001-00002,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R001,Semibalanus balanoides,urn:lsid:marinespecies.org:taxname:106210,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R001-00003,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R001,Ulva lactuca,urn:lsid:marinespecies.org:taxname:145984,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R001-00107,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R001,Littorina littorea,urn:lsid:marinespecies.org:taxname:140262,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R001-00108,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R001,Littorina obtusata,urn:lsid:marinespecies.org:taxname:140263,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R002-00004,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R002,Dynamena,urn:lsid:marinespecies.org:taxname:117229,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R002-00005,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R002,Hildenbrandia,urn:lsid:marinespecies.org:taxname:144191,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R002-00006,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R002,Mytilus edulis,urn:lsid:marinespecies.org:taxname:140480,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R002-00007,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R002,Semibalanus balanoides,urn:lsid:marinespecies.org:taxname:106210,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R002-00109,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R002,Littorina littorea,urn:lsid:marinespecies.org:taxname:140262,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R002-00110,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R002,Littorina obtusata,urn:lsid:marinespecies.org:taxname:140263,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R003-00008,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R003,Dynamena,urn:lsid:marinespecies.org:taxname:117229,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R003-00009,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R003,Hildenbrandia,urn:lsid:marinespecies.org:taxname:144191,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R003-00010,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R003,Mytilus edulis,urn:lsid:marinespecies.org:taxname:140480,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R003-00011,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R003,Semibalanus balanoides,urn:lsid:marinespecies.org:taxname:106210,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R003-00111,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R003,Littorina littorea,urn:lsid:marinespecies.org:taxname:140262,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R003-00112,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R003,Littorina obtusata,urn:lsid:marinespecies.org:taxname:140263,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R003-00113,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R003,Nucella lapillus,urn:lsid:marinespecies.org:taxname:140403,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R004-00012,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R004,Dynamena,urn:lsid:marinespecies.org:taxname:117229,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R004-00013,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R004,Semibalanus balanoides,urn:lsid:marinespecies.org:taxname:106210,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R004-00114,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R004,Littorina littorea,urn:lsid:marinespecies.org:taxname:140262,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R005-00014,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R005,Dynamena,urn:lsid:marinespecies.org:taxname:117229,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R005-00015,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R005,Hildenbrandia,urn:lsid:marinespecies.org:taxname:144191,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R005-00016,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R005,Mytilus edulis,urn:lsid:marinespecies.org:taxname:140480,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R005-00017,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R005,Semibalanus balanoides,urn:lsid:marinespecies.org:taxname:106210,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R005-00018,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R005,Ulva lactuca,urn:lsid:marinespecies.org:taxname:145984,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R005-00115,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R005,Littorina littorea,urn:lsid:marinespecies.org:taxname:140262,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R005-00116,USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE_R005,Littorina obtusata,urn:lsid:marinespecies.org:taxname:140263,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R001-00019,USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R001,Dynamena,urn:lsid:marinespecies.org:taxname:117229,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R001-00020,USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R001,Hildenbrandia,urn:lsid:marinespecies.org:taxname:144191,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R001-00021,USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R001,Mytilus edulis,urn:lsid:marinespecies.org:taxname:140480,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R001-00022,USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R001,Semibalanus balanoides,urn:lsid:marinespecies.org:taxname:106210,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R001-00117,USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R001,Littorina littorea,urn:lsid:marinespecies.org:taxname:140262,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R001-00118,USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R001,Littorina obtusata,urn:lsid:marinespecies.org:taxname:140263,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R002-00023,USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R002,Dynamena,urn:lsid:marinespecies.org:taxname:117229,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R002-00024,USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R002,Mytilus edulis,urn:lsid:marinespecies.org:taxname:140480,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R002-00025,USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R002,Semibalanus balanoides,urn:lsid:marinespecies.org:taxname:106210,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R002-00119,USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R002,Littorina littorea,urn:lsid:marinespecies.org:taxname:140262,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R002-00120,USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R002,Littorina obtusata,urn:lsid:marinespecies.org:taxname:140263,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R003-00026,USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R003,Dynamena,urn:lsid:marinespecies.org:taxname:117229,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R003-00027,USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R003,Hildenbrandia,urn:lsid:marinespecies.org:taxname:144191,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R003-00028,USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R003,Mytilus edulis,urn:lsid:marinespecies.org:taxname:140480,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R003-00029,USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R003,Semibalanus balanoides,urn:lsid:marinespecies.org:taxname:106210,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R003-00121,USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R003,Littorina littorea,urn:lsid:marinespecies.org:taxname:140262,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R003-00122,USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R003,Littorina obtusata,urn:lsid:marinespecies.org:taxname:140263,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R003-00123,USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R003,Nucella lapillus,urn:lsid:marinespecies.org:taxname:140403,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R004-00030,USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R004,Dynamena,urn:lsid:marinespecies.org:taxname:117229,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R004-00031,USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R004,Mytilus edulis,urn:lsid:marinespecies.org:taxname:140480,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R004-00032,USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R004,Semibalanus balanoides,urn:lsid:marinespecies.org:taxname:106210,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R004-00033,USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R004,Ulva intestinalis,urn:lsid:marinespecies.org:taxname:234471,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R004-00124,USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R004,Littorina littorea,urn:lsid:marinespecies.org:taxname:140262,HumanObservation,present
USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R004-00125,USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE_R004,Littorina obtusata,urn:lsid:marinespecies.org:taxname:140263,HumanObservation,present
