Country,Locality,latitude,qD_max,obs_max
ARGENTINA,PTO MADRYN,-42.7920567,22.9,20.7
BRAZIL,ARRAIAL DO CABO,-22.9705,19.6,18.7
BRAZIL,COSTA DAS ALGAS,-20.0253333,16.6,13.7
BRAZIL,FERNANDO DE NORONHA,-3.846132,6.6,5.8
CHILE,ANTARCTICA,-62.1923275,10.9,9
CHILE,CONCEPCION,-36.5810103,25,21
CHILE,PUNTA ARENAS,-53.61089,22.4,18
CHILE,MONTEMAR,-32.9587,34.1,26
COLOMBIA,ISLA GORGONA,2.9459502,30.1,22.7
ECUADOR,SANTA CRUZ,-0.7506673,7.7,6.3
USA,BIDDEFORD,43.44,15.8,12
USA,GIANTSTAIRS,43.726,16.2,15
USA,CHAMBERLAIN,43.884,17,14
USA,GRINDSTONE,44.371,7,7
USA,CENTRALMAINE,44.76,23.1,18
USA,MASSACHUSETTS,42.4620305,9.2,9
