Country,Locality,latitude,max_estrapol_high,max_estrapol_mid,max_estrapol_low,max_estrapol_all,obs_high,obs_mid,obs_low,max_obs_all
CHILE,ANTARCTICA,-62.1923275,3.9,4,10.9,10.9,3.5,4,9,9
CHILE,PUNTA ARENAS,-53.61089,8.7,14.5,22.4,22.4,8,13,18,18
ARGENTINA,PTO MADRYN,-42.7920567,5.4,11.1,22.9,22.9,5,10,20.7,20.7
CHILE,CONCEPCION,-36.5810103,7.6,19.2,25,25,6.7,15,21,21
CHILE,MONTEMAR,-32.9587,11.1,34.1,30,34.1,9,26,22,26
BRAZIL,ARRAIAL DO CABO,-22.9705,11.3,14.7,19.6,19.6,10.3,13.3,18.7,18.7
BRAZIL,COSTA DAS ALGAS,-20.0253333,8.2,15.8,16.6,16.6,7.7,12.7,13.7,13.7
BRAZIL,FERNANDO DE NORONHA,-3.846132,2.9,4.6,6.6,6.6,2.5,4.3,5.8,5.8
ECUADOR,SANTA CRUZ,-0.7506673,3.3,5.7,7.7,7.7,2.5,4.3,6.3,6.3
COLOMBIA,ISLA GORGONA,2.9459502,10.6,22.1,30.1,30.1,7.7,16,22.7,22.7
USA,MASSACHUSETTS,42.4620305,9.2,8,NA,9.2,9,8,NA,9
USA,MAINE,44.0362,14.18,14.3,NA,14.3,11.6,12.8,NA,12.8
